Sample_ID	group label	Master ID	Skeletal code	Skeletal element	"Published(0=no,1=yes.including.data.release.of.bioRxiv.version)"	"Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing: GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]"	Publication	Representative contact	"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r:5; Atmospheric data from Reimer et al (2020)"	"Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]"	"Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]"	"Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE"	Age at Death Estimate	Group ID	Locality	Country	Lat.	Long.	Restrictions (0=none; 1=Basic signed letter; 2=Restrictive signed letter; 3=Bolnick signed letter; 4=Never release; 5=Disease patient; 6=Basic signed letter but drafts should be circulated to Papua New Guinea Medical Research Advisory Group in advance of publication)	Pulldown Strategy	Data source	No. Libraries	Coverage on autosomal targets (Computed at (re)pulldown pre-padding)	1240k coverage (taken from original pulldown where possible)	SNPs hit on autosomal targets (Computed at pulldown for non-padded samples)	SNPs hit on autosomal targets (Computed using easystats on 1240k snpset)	Mean length of shotgun sequences (merged data)	Sex	Family ID and position within family	Sum total of ROH segments >4cM	Sum total of ROH segments >20cM	Y haplogroup automatic caller	Y haplogroup in terminal mutation notation (automatically called)	Y haplogroup  in ISOGG v15.73 notation (automatically called)	Y chromosome reference for manual call	Y haplogroup (manual curation in terminal mutation format)	Y haplogroup (manual curation in ISOGG format)	mtDNA coverage (merged data)	mtDNA haplogroup if ≥2 or published	mtDNA match to consensus if ≥2 coverage (merged data)	Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data)	Sex ratio [Y/(Y+X) counts] (merged data)	Xcontam ANGSD SNPs (only if male)	Xcontam ANGSD MOM point estimate (only if male and ≥200)	Xcontam ANGSD MOM Z-score (only if male and ≥200)	Xcontam ANGSD MOM 95% CI truncated at 0 (only if male and ≥200)	contamLD est	contamLD s.e.	contamLD warning	contamLD s.e.	"Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)"	LibraryID(s)	endogenous by library (computed on shotgun data)	1240k coverage (by library)	Damage rate in first nucleotide on sequences overlapping 1240k targets (by library)	mtDNA coverage (by library)	mtDNA haplogroup if ≥2 coverage (by library)	mtDNA match to consensus if ≥2 coverage (by library)	Individual Notes	batch notes (e.g. if a control well looks contaminated)	ASSESSMENT	"ASSESSMENT REASONING (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is ""QUESTIONABLE""; <0.9 is ""QUESTIONABLE_CRITICAL"", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is ""QUESTIONABLE_CRITICAL/FAIL"" if <0.01, and recorded but passed if 0.01-0.03; libraries with untreated last base are ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if <0.01, ""QUESTIONABLE"" if 0.01-0.03, and recorded but passed if 0.03-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))"
I0022	AN	I0022	LBK1976	tooth (premolar)	1	2015	MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)	"Krause, Johannes"	Context: Archaeological - Period	7125	188	5500-4850 BCE	..	Germany_EN_LBK	"Baden-Württemberg, Stuttgart-Mühlhausen, Viesenhaeuser Hof"	Germany	48.78	9.18	0	Repulldown on 3.2M snpset	1240K	1	0.24451	0.441	546653	366956	..	F	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	251.141228	T2e	"[0.956,0.988]"	0.135	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.037	0.013	None	"[0.012,0.062]"	ds.half	S0022.L2	0.0421	0.441	0.135	246	T2e	..	..	..	PASS	..
I0025	AN	I0025	LBK1992	tooth (molar)	1	2015	MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)	"Krause, Johannes"	Context: Archaeological - Period	7125	188	5500-4850 BCE	..	Germany_EN_LBK	"Baden-Württemberg, Stuttgart-Mühlhausen, Viesenhaeuser Hof"	Germany	48.78	9.18	0	1240K pulldown padded to 3.2M snpset	1240K	1	2.655	2.655	..	836289	..	F	n/a (no relatives detected)	0	0	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	661.453618	T2b	"[0.965,0.992]"	0.155	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.003	0.003	None	"[0,0.009]"	ds.half	S0025.L2	0.4544	2.655	0.155	273	T2b	..	..	..	PASS	..
I0026	AN	I0026	LBK2155	tooth (molar)	1	2015	MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)	"Krause, Johannes"	Context: Archaeological - Period	7125	188	5500-4850 BCE	..	Germany_EN_LBK	"Baden-Württemberg, Stuttgart-Mühlhausen, Viesenhaeuser Hof"	Germany	48.78	9.18	0	Repulldown on 3.2M snpset	1240K	1	2.006078	3.625	1455456	892612	..	F	n/a (no relatives detected)	10.004401	0	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	548.241173	T2b	"[0.951,0.983]"	0.153	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.002	0.004	None	"[0,0.01]"	ds.half	S0026.L2	0.5909	3.625	0.153	121	T2b	..	..	..	PASS	..
I0046_published	AN	I0046	HAL5	tooth	1	2015	LipsonNature2017 (higher.cov.version.of.MathiesonNature2015)	"Haak, Wolfgang"	Direct: IntCal20	7041	72	"5211-4957 calBCE (6136±34 BP, MAMS-21479)"	..	Germany_EN_LBK	Halberstadt-Sonntagsfeld	Germany	51.89583333	11.04666667	0	1240K pulldown padded to 3.2M snpset	1240K	2	2.744	2.744	..	950248	..	F	n/a (no relatives detected)	0	0	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	240.314081	T2c1+146	"[0.989,0.999]"	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.016	0.009	None	"[0,0.002]"	"ds.half,ds.half"	"S2007.L1,S2007.L2"	"..,0.13180"	"..,0.551"	"0.128,0.14"	"114.00,162.00"	"T2c1+146,T2c1+146"	"[0.994,0.998],[0.998,1.000]"	..	..	PASS	..
I0048_published	AN	I0048	HAL25	tooth	1	2015	"LipsonNature2017 (supplement of MathiesonNature2015, which itself was supplement of HaakLazaridis2015)"	"Haak, Wolfgang"	Direct: IntCal20	7057	64	"5210-5003 calBCE (6153±33 BP, MAMS-21482)"	..	Germany_EN_LBK	Halberstadt-Sonntagsfeld	Germany	51.89583333	11.04666667	0	1240K pulldown padded to 3.2M snpset	1240K	2	0.579	0.579	..	481460	..	M	n/a (no relatives detected)	0	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	G-PF3148	G2a2a1	..	..	..	88.063794	K1a+195	"[0.994,1]"	..	..	..	0.003478	0.608183584	"[0,0.015]"	0.018	0.02	None	"[0,0.057]"	"ds.half,ds.half"	"S2025.L1,S2025.L2"	"..,0.03520"	"..,0.092"	"0.149,0.172"	"86.10,169.00"	"K1a+195,K1a+195"	"[0.996,1.000],[0.998,1.000]"	..	..	PASS	..
I0054	AN	I0054	UWS4	petrous	1	2015	MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)	"Haak, Wolfgang"	Direct: IntCal20	7074	58	"5216-5009 calBCE (6180±34 BP, MAMS-21485)"	..	Germany_EN_LBK	Unterwiederstedt	Germany	51.66	11.53	0	Repulldown on 3.2M snpset	1240K	3	11.220684	18.61	1955357	1011939	..	F	n/a (no relatives detected)	0	0	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	337.572998	J1c17	"[0.989,0.999]"	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.013	0.006	None	"[0,0]"	"ds.plus,ds.plus,ds.plus"	"S0223.L1,S0396.L1,S0397.L1"	"0.51070,0.57420,0.50560"	"..,..,.."	"0.292,0.292,0.292"	"..,40.30,332.00"	"..,J1c17,J1c17"	"..,[0.957,0.968],[0.981,0.989]"	..	..	PASS	..
I0056	AN	I0056	HAL14	tooth	1	2015	"LipsonNature2017 (supplement of MathiesonNature2015, which itself was supplement of HaakLazaridis2015)"	"Haak, Wolfgang"	Direct: IntCal20	7059	63	"5211-5002 calBCE (6156±35 BP, MAMS-21480)"	..	Germany_EN_LBK	Halberstadt-Sonntagsfeld	Germany	51.89583333	11.04666667	0	1240K pulldown padded to 3.2M snpset	1240K	2	0.406	0.406	..	362811	..	M	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	G-PF3147	G2a2a	..	..	..	262.860764	T2b	"[0.962,0.988]"	..	..	..	..	..	..	-0.013	0.005	None	"[0,0]"	"..,.."	"S2013.L1,S0225.L1"	"..,0.05150"	"..,.."	"0.132,0.294"	"258.00,.."	"T2b,0"	"[0.756,0.833],.."	..	..	QUESTIONABLE_CRITICAL	..
I0057_published	AN	I0057	HAL34	bone	1	2015	LipsonNature2017 (higher.cov.version.of.MathiesonNature2015)	"Haak, Wolfgang"	Direct: IntCal20	7070	58	"5215-5011 calBCE (6173±34 BP, MAMS-21483)"	..	Germany_EN_LBK	Halberstadt-Sonntagsfeld	Germany	51.89583333	11.04666667	0	1240K pulldown padded to 3.2M snpset	1240K	2	0.47	0.47	..	392669	..	F	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	91.446798	N1a1a1	"[0.994,1]"	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.005	0.013	None	"[0,0.02]"	"ds.half,ds.half"	"S2031.L1,S2031.L2"	"..,0.02160"	"..,0.246"	"0.156,0.145"	"89.60,246.00"	"N1a1a,N1a1a"	"[0.996,1.000],[0.996,1.000]"	..	..	PASS	..
I0174	AN	I0174	BAM25	tooth	1	2015	MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)	"Haak, Wolfgang"	Direct: IntCal20	7558	43	"5712-5531 calBCE (6695±40 BP, MAMS-11939 )"	..	Hungary_EN_Starcevo_1	"Alsonyek-Bataszek, Mérnöki telep"	Hungary	46.208562	18.700047	0	Repulldown on 3.2M snpset	1240K	1	0.13046	0.224	349020	212186	..	M	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	H-P96	H	..	..	..	176.385841	N1a1a1	"[0.99,0.999]"	..	..	..	..	..	..	0	0.023	None	"[0,0.045]"	ds.plus	S0481.L1	0.0634	0.224	0.244	174	N1a1a	..	..	..	PASS	..
I0176	AN	I0176	SZEH4	tooth (molar)	1	2015	MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)	"Haak, Wolfgang"	Direct: IntCal20	7002	77	"5209-4939 calBCE (6110±30 BP, Beta-310038)"	..	Hungary_MN_LBK	Szemely-Hegyes	Hungary	46.4	18.74	0	Repulldown on 3.2M snpset	1240K	1	0.04081	0.066	112504	70068	..	F	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	28.255779	N1a1a1a3	"[0.98,0.996]"	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.11	0.014	None	"[0.083,0.137]"	ds.plus	S0483.L1	0.0336	0.066	0.363	28.1	N1a1a1a3	..	..	..	PASS	..
