sampleId	popId	site	country	region	groupLabel	groupAge	flag	shapeA	colorA	latitude	longitude	callset	dataSource	age14C	ageHigh	ageLow	ageAverage	datingSource	coverage	sex	hgMT	gpAvg	ageRaw	clusterId	clusterIBDGlobal	clusterIBDFine	age
NA20502	TSI	NA	Italy	SouthernEurope	TSI	Modern	0	5	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA	0
NA20503	TSI	NA	Italy	SouthernEurope	TSI	Modern	0	5	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA	0
NA20504	TSI	NA	Italy	SouthernEurope	TSI	Modern	0	5	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA	0
NA20505	TSI	NA	Italy	SouthernEurope	TSI	Modern	0	5	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA	0
NA20506	TSI	NA	Italy	SouthernEurope	TSI	Modern	0	5	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA	0
NA20507	TSI	NA	Italy	SouthernEurope	TSI	Modern	0	5	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA	0
NA20508	TSI	NA	Italy	SouthernEurope	TSI	Modern	0	5	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA	0
NA20509	TSI	NA	Italy	SouthernEurope	TSI	Modern	0	5	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA	0
NA20510	TSI	NA	Italy	SouthernEurope	TSI	Modern	0	5	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA	0
NA20511	TSI	NA	Italy	SouthernEurope	TSI	Modern	0	5	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA	0
NA20512	TSI	NA	Italy	SouthernEurope	TSI	Modern	0	5	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA	0
NA20513	TSI	NA	Italy	SouthernEurope	TSI	Modern	0	5	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA	0
NA20514	TSI	NA	Italy	SouthernEurope	TSI	Modern	0	5	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA	0
NA20515	TSI	NA	Italy	SouthernEurope	TSI	Modern	0	5	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA	0
NA20516	TSI	NA	Italy	SouthernEurope	TSI	Modern	0	5	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA	0
NA20517	TSI	NA	Italy	SouthernEurope	TSI	Modern	0	5	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA	0
NA20518	TSI	NA	Italy	SouthernEurope	TSI	Modern	0	5	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA	0
