sampleId	popId	age
tsk_0	FIN_GBR_TSI	0
tsk_1	FIN_GBR_TSI	0
tsk_2	FIN_GBR_TSI	0
tsk_3	FIN_GBR_TSI	0
tsk_4	FIN_GBR_TSI	0
tsk_5	FIN_GBR_TSI	0
tsk_6	FIN_GBR_TSI	0
tsk_7	FIN_GBR_TSI	0
tsk_8	FIN_GBR_TSI	0
tsk_9	FIN_GBR_TSI	0
tsk_10	FIN_GBR_TSI	0
tsk_11	FIN_GBR_TSI	0
tsk_12	FIN_GBR_TSI	0
tsk_13	FIN_GBR_TSI	0
tsk_14	FIN_GBR_TSI	0
tsk_15	FIN_GBR_TSI	0
tsk_16	FIN_GBR_TSI	0
tsk_17	FIN_GBR_TSI	0
tsk_18	FIN_GBR_TSI	0
tsk_19	FIN_GBR_TSI	0
tsk_20	FIN_GBR_TSI	0
tsk_21	FIN_GBR_TSI	0
tsk_22	FIN_GBR_TSI	0
tsk_23	FIN_GBR_TSI	0
tsk_24	FIN_GBR_TSI	0
tsk_25	FIN_GBR_TSI	0
tsk_26	FIN_GBR_TSI	0
tsk_27	FIN_GBR_TSI	0
tsk_28	FIN_GBR_TSI	0
tsk_29	FIN_GBR_TSI	0
tsk_30	FIN_GBR_TSI	0
tsk_31	FIN_GBR_TSI	0
tsk_32	FIN_GBR_TSI	0
tsk_33	FIN_GBR_TSI	0
tsk_34	FIN_GBR_TSI	0
tsk_35	FIN_GBR_TSI	0
tsk_36	FIN_GBR_TSI	0
tsk_37	FIN_GBR_TSI	0
tsk_38	FIN_GBR_TSI	0
tsk_39	FIN_GBR_TSI	0
tsk_40	FIN_GBR_TSI	0
tsk_41	FIN_GBR_TSI	0
tsk_42	FIN_GBR_TSI	0
tsk_43	FIN_GBR_TSI	0
tsk_44	FIN_GBR_TSI	0
tsk_45	FIN_GBR_TSI	0
tsk_46	FIN_GBR_TSI	0
tsk_47	FIN_GBR_TSI	0
tsk_48	FIN_GBR_TSI	0
tsk_49	FIN_GBR_TSI	0
tsk_50	FIN_GBR_TSI	0
tsk_51	FIN_GBR_TSI	0
tsk_52	FIN_GBR_TSI	0
tsk_53	FIN_GBR_TSI	0
tsk_54	FIN_GBR_TSI	0
tsk_55	FIN_GBR_TSI	0
tsk_56	FIN_GBR_TSI	0
tsk_57	FIN_GBR_TSI	0
tsk_58	FIN_GBR_TSI	0
tsk_59	FIN_GBR_TSI	0
tsk_60	FIN_GBR_TSI	0
tsk_61	FIN_GBR_TSI	0
tsk_62	FIN_GBR_TSI	0
tsk_63	FIN_GBR_TSI	0
tsk_64	FIN_GBR_TSI	0
tsk_65	FIN_GBR_TSI	0
tsk_66	FIN_GBR_TSI	0
tsk_67	FIN_GBR_TSI	0
tsk_68	FIN_GBR_TSI	0
tsk_69	FIN_GBR_TSI	0
tsk_70	FIN_GBR_TSI	0
tsk_71	FIN_GBR_TSI	0
tsk_72	FIN_GBR_TSI	0
tsk_73	FIN_GBR_TSI	0
tsk_74	FIN_GBR_TSI	0
tsk_75	FIN_GBR_TSI	0
tsk_76	FIN_GBR_TSI	0
tsk_77	FIN_GBR_TSI	0
tsk_78	FIN_GBR_TSI	0
tsk_79	FIN_GBR_TSI	0
tsk_80	FIN_GBR_TSI	0
tsk_81	FIN_GBR_TSI	0
tsk_82	FIN_GBR_TSI	0
tsk_83	FIN_GBR_TSI	0
tsk_84	FIN_GBR_TSI	0
tsk_85	FIN_GBR_TSI	0
tsk_86	FIN_GBR_TSI	0
tsk_87	FIN_GBR_TSI	0
tsk_88	FIN_GBR_TSI	0
tsk_89	FIN_GBR_TSI	0
tsk_90	FIN_GBR_TSI	0
tsk_91	Bronze_Age	4116
tsk_92	Bronze_Age	4424
tsk_93	Bronze_Age	3808
tsk_94	Bronze_Age	3752
tsk_95	Bronze_Age	3808
tsk_96	Bronze_Age	4116
tsk_97	Bronze_Age	3948
tsk_98	Bronze_Age	3808
tsk_99	Bronze_Age	3808
tsk_100	Bronze_Age	4592
tsk_101	Bronze_Age	4480
tsk_102	Bronze_Age	4116
tsk_103	Bronze_Age	4004
tsk_104	Bronze_Age	4004
tsk_105	Bronze_Age	4620
tsk_106	Bronze_Age	4060
tsk_107	Bronze_Age	4508
tsk_108	Bronze_Age	3892
tsk_109	Bronze_Age	4116
tsk_110	Bronze_Age	3892
tsk_111	Bronze_Age	3836
tsk_112	Bronze_Age	3584
tsk_113	Bronze_Age	3836
tsk_114	Bronze_Age	4396
tsk_115	Bronze_Age	4424
tsk_116	Bronze_Age	3780
tsk_117	Bronze_Age	4508
tsk_118	Bronze_Age	4508
tsk_119	Bronze_Age	4228
tsk_120	Bronze_Age	4620
tsk_121	Bronze_Age	3780
tsk_122	Bronze_Age	3724
tsk_123	Bronze_Age	3584
tsk_124	Bronze_Age	3640
tsk_125	Bronze_Age	3696
tsk_126	Bronze_Age	3640
tsk_127	Bronze_Age	3724
tsk_128	Bronze_Age	3864
tsk_129	Bronze_Age	3864
tsk_130	Bronze_Age	4452
tsk_131	Bronze_Age	3752
tsk_132	Bronze_Age	3808
tsk_133	Bronze_Age	4396
tsk_134	Bronze_Age	4368
tsk_135	Bronze_Age	3752
tsk_136	Bronze_Age	4200
tsk_137	Bronze_Age	3724
tsk_138	Bronze_Age	3976
tsk_139	Bronze_Age	3948
tsk_140	Bronze_Age	3752
tsk_141	Bronze_Age	3948
tsk_142	Bronze_Age	3836
tsk_143	Bronze_Age	3892
tsk_144	Bronze_Age	3360
tsk_145	Bronze_Age	3304
tsk_146	Bronze_Age	4116
tsk_147	Bronze_Age	3976
tsk_148	Bronze_Age	4116
tsk_149	Bronze_Age	4116
tsk_150	Bronze_Age	3976
tsk_151	Bronze_Age	3584
tsk_152	Bronze_Age	3696
tsk_153	Bronze_Age	4088
tsk_154	Bronze_Age	4228
tsk_155	Bronze_Age	3976
tsk_156	Bronze_Age	4032
tsk_157	Bronze_Age	3080
tsk_158	Bronze_Age	3248
tsk_159	Bronze_Age	3556
tsk_160	Bronze_Age	3696
tsk_161	Bronze_Age	4284
tsk_162	Bronze_Age	3136
tsk_163	Bronze_Age	3892
tsk_164	Bronze_Age	2800
tsk_165	Bronze_Age	4032
tsk_166	Bronze_Age	3612
tsk_167	Bronze_Age	3612
tsk_168	Bronze_Age	3612
tsk_169	Bronze_Age	3612
tsk_170	Bronze_Age	3640
tsk_171	Bronze_Age	3416
tsk_172	BAA	3808
tsk_173	BAA	3808
tsk_174	BAA	3808
tsk_175	BAA	3808
tsk_176	BAA	4704
tsk_177	BAA	4704
tsk_178	BAA	4704
tsk_179	Neo	3892
tsk_180	Neo	5768
tsk_181	Neo	5264
tsk_182	Neo	5432
tsk_183	Neo	5040
tsk_184	Neo	5656
tsk_185	Neo	5460
tsk_186	Neo	5544
tsk_187	Neo	5460
tsk_188	Neo	5460
tsk_189	Neo	5040
tsk_190	Neo	5040
tsk_191	Neo	5040
tsk_192	Neo	4900
tsk_193	Neo	4900
tsk_194	Neo	5460
tsk_195	Neo	5936
tsk_196	Neo	5936
tsk_197	Neo	5936
tsk_198	Neo	5264
tsk_199	Neo	5264
tsk_200	Neo	5124
tsk_201	Neo	5096
tsk_202	Neo	4648
tsk_203	Neo	5068
tsk_204	Neo	5180
tsk_205	Neo	5180
tsk_206	Neo	5460
tsk_207	Neo	5180
tsk_208	Neo	5600
tsk_209	Neo	5320
tsk_210	Neo	5544
tsk_211	Neo	5656
tsk_212	Neo	5656
tsk_213	Neo	4732
tsk_214	Neo	4900
tsk_215	Neo	5656
tsk_216	Neo	5096
tsk_217	Neo	4956
tsk_218	Neo	5656
tsk_219	Neo	4676
tsk_220	Neo	4732
tsk_221	Neo	4760
tsk_222	Neo	4760
tsk_223	Neo	4732
tsk_224	Neo	4704
tsk_225	Neo	4760
tsk_226	Neo	4760
tsk_227	Neo	4480
tsk_228	Neo	4732
tsk_229	Neo	4900
tsk_230	Neo	4732
tsk_231	Neo	4732
tsk_232	Neo	4732
tsk_233	Neo	4732
tsk_234	Neo	4704
tsk_235	Neo	4732
tsk_236	Neo	4732
tsk_237	Neo	4732
tsk_238	Neo	4760
tsk_239	Neo	4732
tsk_240	Neo	4844
tsk_241	Neo	4732
tsk_242	Neo	4956
tsk_243	Neo	7168
tsk_244	Neo	5600
tsk_245	Neo	6412
tsk_246	Neo	6328
tsk_247	Neo	6804
tsk_248	Neo	5992
tsk_249	Neo	4396
tsk_250	Neo	6552
tsk_251	Neo	5516
tsk_252	Neo	5460
tsk_253	Neo	5488
tsk_254	Neo	5096
tsk_255	Neo	5068
tsk_256	Neo	5068
tsk_257	Neo	4368
tsk_258	Neo	4536
tsk_259	Neo	5460
tsk_260	Neo	5208
tsk_261	Neo	5124
tsk_262	Neo	4340
tsk_263	Neo	4900
tsk_264	Neo	4900
tsk_265	Neo	5124
tsk_266	Neo	4900
tsk_267	Neo	4172
tsk_268	Neo	5320
tsk_269	Neo	5544
tsk_270	Neo	5460
tsk_271	Neo	5404
tsk_272	Neo	5460
tsk_273	Neo	5460
tsk_274	Neo	5656
tsk_275	Neo	5432
tsk_276	Neo	4956
tsk_277	Neo	5348
tsk_278	Neo	5180
tsk_279	Neo	4620
tsk_280	Neo	5236
tsk_281	Neo	4704
tsk_282	Neo	5488
tsk_283	Neo	5544
tsk_284	Neo	5124
tsk_285	Neo	5460
tsk_286	Neo	6132
tsk_287	Neo	6244
tsk_288	Neo	5684
tsk_289	Neo	5320
tsk_290	Neo	5320
tsk_291	Neo	5572
tsk_292	Neo	5040
tsk_293	Neo	4676
